CVE_ID,CVSS_Score_Scaled,Severity_CRITICAL,Severity_HIGH,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN,Attack_Vector_ADJACENT_NETWORK,Attack_Vector_LOCAL,Attack_Vector_NETWORK,Attack_Vector_PHYSICAL,Attack_Vector_UNKNOWN,CVSS_Risk_Bin
CVE-2011-3386,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-12718,0.12673782472094697,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-14002,1.7735482622635628,False,True,False,False,False,False,False,True,False,False,CRITICAL
CVE-2017-14006,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2019-5024,0.5384404341066008,False,True,False,False,False,False,False,False,True,False,HIGH
CVE-2019-11687,1.413308479051116,False,True,False,False,False,False,False,True,False,False,CRITICAL
CVE-2017-10718,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10719,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10721,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10723,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10724,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2019-18254,-1.0054443510896014,False,False,False,True,False,False,False,False,True,False,MEDIUM
CVE-2020-12036,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-12037,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2020-27278,-0.6966673940503607,False,False,False,True,False,False,False,False,True,False,MEDIUM
CVE-2020-27282,-1.1598328296092215,False,False,False,True,False,False,False,False,True,False,MEDIUM
CVE-2021-27408,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2021-27410,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2023-0888,-0.8510558725699808,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2025-12699,-0.5422789155307406,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2013-3061,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2016-5563,-0.28496478466470687,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2016-5564,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2016-5565,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-3552,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2017-3560,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-3568,-1.4686097866484618,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-3569,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-3573,0.12673782472094697,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-3574,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10000,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10001,-0.28496478466470687,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10002,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10044,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10047,-0.07911347997187973,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10056,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10064,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10069,-0.6452045678771542,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10076,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10079,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10097,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10128,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10132,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10133,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10136,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10142,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10168,-1.674461091341289,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10169,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10182,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2017-10188,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10189,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10195,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10200,-1.5200726128216686,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10201,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10205,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10206,0.48697760793339423,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2017-10207,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10208,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10211,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10212,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10213,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10216,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10217,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10218,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10219,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10220,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10221,-1.4686097866484618,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10222,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10223,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10224,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10225,-1.1083700034360147,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2017-10226,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10228,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10229,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10230,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10231,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10232,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-14846,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10014,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2017-10050,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10054,-1.5200726128216686,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10197,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10316,-1.3142213081288416,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10317,-2.292015005419769,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10318,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10319,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10337,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10339,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10340,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10343,-1.1598328296092215,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10344,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10353,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10361,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10367,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10370,-0.8510558725699808,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10372,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10375,-0.8510558725699808,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10383,-0.7995930463967743,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10389,-1.2627584819556352,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2017-10395,-0.5422789155307406,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10396,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10397,-0.38789043701112047,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2017-10398,-1.7259239175144956,False,False,True,False,False,False,True,False,False,False,LOW
CVE-2017-10399,-1.5715354389948755,False,False,True,False,False,False,False,True,False,False,LOW
CVE-2017-10401,-1.1598328296092215,False,False,False,True,False,False,True,False,False,False,MEDIUM
